time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002
0.1,0.1,0.0,0.138,-0.08,0.0,0.7999999999997272,0.4,-0.4,254.00000000000006,254.00000000000006
0.11,0.009999999999999995,0.0,0.138,-0.07994458174955717,0.0,0.8836273795714078,0.4,-0.4,255.00000000000006,255.00000000000006
0.12,0.009999999999999995,0.0,0.138,-0.07979585074407007,0.0,0.969814471324753,0.4,-0.4,254.00000000000006,254.00000000000006
0.13,0.010000000000000009,0.0,0.138,-0.07962485311137982,0.0,1.0569806425774004,0.4,-0.4,254.00000000000006,254.00000000000006
0.14,0.010000000000000009,0.0,0.138,-0.07944181474770948,0.0,1.145073337813301,0.4,-0.4,255.00000000000006,254.00000000000006
0.15,0.009999999999999981,0.0,0.138,-0.07924772906040851,0.0,1.2341202948314276,0.4,-0.4,255.00000000000006,254.00000000000006
0.16,0.010000000000000009,0.0,0.138,-0.0790428862487091,0.0,1.3241517623255277,0.4,-0.4,255.00000000000006,255.00000000000006
0.17,0.010000000000000009,0.0,0.138,-0.07882752343917605,0.0,1.4151955028396515,0.4,-0.4,254.00000000000006,254.00000000000006
0.18,0.009999999999999981,0.0,0.138,-0.07860186946351448,0.0,1.5072765879353938,0.4,-0.4,254.00000000000006,254.00000000000006
0.19,0.010000000000000009,0.0,0.138,-0.07836614797069955,0.0,1.6004175226903499,0.4,-0.4,255.00000000000006,254.00000000000006
0.2,0.010000000000000009,0.0,0.138,-0.0781205777356358,0.0,1.6946383867139048,0.4,-0.4,254.00000000000006,254.00000000000006
0.21,0.009999999999999981,0.0,0.138,-0.07786537277816577,0.0,1.7899569699825406,0.4,-0.4,255.00000000000006,254.00000000000006
0.22,0.010000000000000009,0.0,0.138,-0.07760074246727473,0.0,1.8863889022600233,0.4,-0.4,255.00000000000006,255.00000000000006
0.23,0.010000000000000009,0.0,0.138,-0.07732689162221529,0.0,1.9839477762852766,0.4,-0.4,254.00000000000006,254.00000000000006
0.24,0.009999999999999981,0.0,0.138,-0.07704402061137999,0.0,2.0826452650039755,0.4,-0.4,254.00000000000006,254.00000000000006
0.25,0.010000000000000009,0.0,0.138,-0.07675232544902184,0.0,2.1824912331267114,0.4,-0.4,254.00000000000006,254.00000000000006
0.26,0.010000000000000009,0.0,0.138,-0.0764519978898726,0.0,2.2834938432447416,0.4,-0.4,255.00000000000006,254.00000000000006
0.27,0.010000000000000009,0.0,0.138,-0.07614322552170509,0.0,2.3856596567784436,0.4,-0.4,254.00000000000006,254.00000000000006
0.28,0.010000000000000009,0.0,0.138,-0.075826191855884,0.0,2.4889937299853955,0.4,-0.4,254.00000000000006,254.00000000000006
0.29,0.009999999999999953,0.0,0.138,-0.07550107641594896,0.0,2.593499705231352,0.4,-0.4,254.00000000000006,254.00000000000006
0.3,0.010000000000000009,0.0,0.138,-0.07516805482427268,0.0,2.6991798977865074,0.4,-0.4,254.00000000000006,254.00000000000006
0.31,0.010000000000000009,0.0,0.138,-0.07482729888683587,0.0,2.806035378305296,0.4,-0.4,255.00000000000006,255.00000000000006
0.32,0.010000000000000009,0.0,0.138,-0.07447897667616006,0.0,2.9140660512171053,0.4,-0.4,255.00000000000006,254.00000000000006
0.33,0.010000000000000009,0.0,0.138,-0.07412325261243814,0.0,3.0232707292029772,0.4,-0.4,254.00000000000006,254.00000000000006
0.34,0.010000000000000009,0.0,0.138,-0.07376028754290193,0.0,3.1336472039420187,0.4,-0.4,255.00000000000006,255.00000000000006
0.35,0.009999999999999953,0.0,0.138,-0.07339023881946496,0.0,3.2451923133007767,0.4,-0.4,254.00000000000006,254.00000000000006
0.36,0.010000000000000009,0.0,0.138,-0.07301326037467817,0.0,3.35790200512929,0.4,-0.4,254.00000000000006,255.00000000000006
0.37,0.010000000000000009,0.0,0.138,-0.07262950279603493,0.0,3.4717713978106985,0.4,-0.4,254.00000000000006,254.00000000000006
0.38,0.010000000000000009,0.0,0.138,-0.0722391133986613,0.0,3.5867948377326684,0.4,-0.4,254.00000000000006,255.00000000000006
0.39,0.010000000000000009,0.0,0.138,-0.0718422362964269,0.0,3.702965953813873,0.4,-0.4,254.00000000000006,254.00000000000006
0.4,0.010000000000000009,0.0,0.138,-0.07143901247151024,0.0,3.8202777092169526,0.4,-0.4,255.00000000000006,254.00000000000006
0.41,0.009999999999999953,0.0,0.138,-0.07102957984245256,0.0,3.938722450385285,0.4,-0.4,254.00000000000006,254.00000000000006
0.42,0.010000000000000009,0.0,0.138,-0.07061407333073265,0.0,4.058291953538628,0.4,-0.4,255.00000000000006,254.00000000000006
0.43,0.010000000000000009,0.0,0.138,-0.07019262492589509,0.0,4.178977468717221,0.4,-0.4,254.00000000000006,254.00000000000006
0.44,0.010000000000000009,0.0,0.138,-0.06976536374926312,0.0,4.300769761528954,0.4,-0.4,254.00000000000006,254.00000000000006
0.45,0.010000000000000009,0.0,0.138,-0.06933241611626699,0.0,4.423659152667369,0.4,-0.4,254.00000000000006,254.00000000000006
0.46,0.010000000000000009,0.0,0.138,-0.06889390559741793,0.0,4.54763555533782,0.4,-0.4,254.00000000000006,255.00000000000006
0.47,0.009999999999999953,0.0,0.138,-0.06844995307795705,0.0,4.6726885106722875,0.4,-0.4,254.00000000000006,254.00000000000006
0.48,0.010000000000000009,0.0,0.138,-0.06800067681620812,0.0,4.798807221228344,0.4,-0.4,254.00000000000006,254.00000000000006
0.49,0.010000000000000009,0.0,0.138,-0.06754619250066221,0.0,4.925980582678221,0.4,-0.4,254.00000000000006,255.00000000000006
0.5,0.010000000000000009,0.0,0.138,-0.06708661330582183,0.0,5.0541972137516495,0.4,-0.4,254.00000000000006,254.00000000000006
0.51,0.010000000000000009,0.0,0.138,-0.06662204994683166,0.0,5.18344548453797,0.4,-0.4,254.00000000000006,254.00000000000006
0.52,0.010000000000000009,0.0,0.138,-0.06615261073292202,0.0,5.313713543205267,0.4,-0.4,254.00000000000006,254.00000000000006
0.53,0.010000000000000009,0.0,0.138,-0.065678401619691,0.0,5.4449893412324855,0.4,-0.4,254.00000000000006,255.00000000000006
0.54,0.010000000000000009,0.0,0.138,-0.06519952626025048,0.0,5.577260657206807,0.4,-0.4,254.00000000000006,254.00000000000006
0.55,0.010000000000000009,0.0,0.138,-0.06471608605526066,0.0,5.71051511926953,0.4,-0.4,254.00000000000006,255.00000000000006
0.56,0.010000000000000009,0.0,0.138,-0.06422818020187743,0.0,5.8447402262731885,0.4,-0.4,255.00000000000006,254.00000000000006
0.57,0.009999999999999898,0.0,0.138,-0.06373590574163586,0.0,5.9799233677031225,0.4,-0.4,254.00000000000006,254.00000000000006
0.58,0.010000000000000009,0.0,0.138,-0.06323935760729343,0.0,6.116051842433535,0.4,-0.4,255.00000000000006,254.00000000000006
0.59,0.010000000000000009,0.0,0.138,-0.06273862866865511,0.0,6.25311287637669,0.4,-0.4,254.00000000000006,255.00000000000006
0.6,0.010000000000000009,0.0,0.138,-0.0622338097774027,0.0,6.391093639064366,0.4,-0.4,254.00000000000006,254.00000000000006
0.61,0.010000000000000009,0.0,0.138,-0.06172498981095002,0.0,6.5299812592365925,0.4,-0.4,254.00000000000006,254.00000000000006
0.62,0.010000000000000009,0.0,0.138,-0.06121225571534507,0.0,6.6697628394613275,0.4,-0.4,254.00000000000006,254.00000000000006
0.63,0.010000000000000009,0.0,0.138,-0.06069569254723989,0.0,6.810425469856455,0.4,-0.4,254.00000000000006,254.00000000000006
0.64,0.010000000000000009,0.0,0.138,-0.06017538351494843,0.0,6.951956240942309,0.4,-0.4,254.00000000000006,254.00000000000006
0.65,0.010000000000000009,0.0,0.138,-0.059651410018612155,0.0,7.094342255678839,0.4,-0.4,254.00000000000006,254.00000000000006
0.66,0.010000000000000009,0.0,0.138,-0.05912385168949287,0.0,7.237570640713784,0.4,-0.4,254.00000000000006,254.00000000000006
0.67,0.010000000000000009,0.0,0.138,-0.05859278642841162,0.0,7.38162855690689,0.4,-0.4,255.00000000000006,254.00000000000006
0.68,0.010000000000000009,0.0,0.138,-0.05805829044335235,0.0,7.526503209132898,0.4,-0.4,254.00000000000006,254.00000000000006
0.69,0.009999999999999898,0.0,0.138,-0.05752043828624845,0.0,7.6721818554319725,0.4,-0.4,255.00000000000006,254.00000000000006
0.7,0.010000000000000009,0.0,0.138,-0.0569793028889697,0.0,7.818651815523026,0.4,-0.4,254.00000000000006,254.00000000000006
0.71,0.010000000000000009,0.0,0.138,-0.0564349555985275,0.0,7.9659004787095,0.4,-0.4,254.00000000000006,254.00000000000006
0.72,0.010000000000000009,0.0,0.138,-0.0558874662115148,0.0,8.11391531122672,0.4,-0.4,254.00000000000006,254.00000000000006
0.73,0.010000000000000009,0.0,0.138,-0.05533690300779778,0.0,8.262683863044003,0.4,-0.4,254.00000000000006,254.00000000000006
0.74,0.010000000000000009,0.0,0.138,-0.054783332783475316,0.0,8.412193774147909,0.4,-0.4,254.00000000000006,254.00000000000006
0.75,0.010000000000000009,0.0,0.138,-0.05422682088312225,0.0,8.562432780354357,0.4,-0.4,254.00000000000006,254.00000000000006
0.76,0.010000000000000009,0.0,0.138,-0.053667431231332004,0.0,8.71338871864873,0.4,-0.4,254.00000000000006,254.00000000000006
0.77,0.010000000000000009,0.0,0.138,-0.05310522636357365,0.0,8.865049532095327,0.4,-0.4,254.00000000000006,254.00000000000006
0.78,0.010000000000000009,0.0,0.138,-0.05254026745637863,0.0,9.017403274339358,0.4,-0.4,254.00000000000006,254.00000000000006
0.79,0.010000000000000009,0.0,0.138,-0.05197261435687128,0.0,9.170438113704222,0.4,-0.4,254.00000000000006,255.00000000000006
0.8,0.010000000000000009,0.0,0.138,-0.051402325611657806,0.0,9.32414233693953,0.4,-0.4,254.00000000000006,254.00000000000006
0.81,0.010000000000000009,0.0,0.138,-0.05082945849508737,0.0,9.478504352601249,0.4,-0.4,254.00000000000006,254.00000000000006
0.82,0.009999999999999898,0.0,0.138,-0.05025406903689909,0.0,9.633512694118963,0.4,-0.4,254.00000000000006,254.00000000000006
0.83,0.010000000000000009,0.0,0.138,-0.04967621204926832,0.0,9.789156022533916,0.4,-0.4,254.00000000000006,254.00000000000006
0.84,0.010000000000000009,0.0,0.138,-0.04909594115326504,0.0,9.945423128960101,0.4,-0.4,254.00000000000006,254.00000000000006
0.85,0.010000000000000009,0.0,0.138,-0.04851330880473741,0.0,10.102302936749311,0.4,-0.4,254.00000000000006,254.00000000000006
0.86,0.010000000000000009,0.0,0.138,-0.047928366319632834,0.0,10.259784503416085,0.4,-0.4,254.00000000000006,254.00000000000006
0.87,0.010000000000000009,0.0,0.138,-0.04734116389876876,0.0,10.417857022289354,0.4,-0.4,254.00000000000006,254.00000000000006
0.88,0.010000000000000009,0.0,0.138,-0.04675175065206518,0.0,10.576509823954439,0.4,-0.4,255.00000000000006,255.00000000000006
0.89,0.010000000000000009,0.0,0.138,-0.04616017462225062,0.0,10.735732377461318,0.4,-0.4,254.00000000000006,254.00000000000006
0.9,0.010000000000000009,0.0,0.138,-0.04556648280805284,0.0,10.895514291330073,0.4,-0.4,254.00000000000006,254.00000000000006
0.91,0.010000000000000009,0.0,0.138,-0.044970721186885734,0.0,11.055845314363069,0.4,-0.4,254.00000000000006,254.00000000000006
0.92,0.010000000000000009,0.0,0.138,-0.044372934737043165,0.0,11.216715336274774,0.4,-0.4,255.00000000000006,255.00000000000006
0.93,0.010000000000000009,0.0,0.138,-0.0437731674594105,0.0,11.37811438814424,0.4,-0.4,255.00000000000006,254.00000000000006
